GymID,Name,Auslastung,Datum,Zeit
11,Edenkoben,17.86,2023-03-16,21:12:16
11,Edenkoben,8.57,2023-03-16,21:38:58
11,Edenkoben,15.71,2023-03-17,08:11:45
