GymID,Name,Auslastung,Datum,Zeit
24,Dudenhofen,15.48,2023-03-16,21:12:18
24,Dudenhofen,10.71,2023-03-16,21:39:00
24,Dudenhofen,9.52,2023-03-17,08:11:46
