GymID,Name,Auslastung,Datum,Zeit
12,Marie-Curie-Str.,14.1,2023-03-16,21:12:17
12,Marie-Curie-Str.,11.54,2023-03-16,21:38:59
12,Marie-Curie-Str.,7.05,2023-03-17,08:11:45
